Day,new_cases,new_deaths
1,1,0
2,1,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,1,0
10,19,0
11,0,0
12,0,0
13,18,0
14,0,0
15,6,0
16,1,0
17,6,0
18,3,1
19,20,1
20,14,4
21,22,3
22,34,2
23,74,1
24,105,2
25,95,3
26,121,4
27,200,5
28,271,2
29,287,2
30,351,10
31,511,7
32,777,10
33,823,12
34,887,16
35,1766,23
36,2988,42
37,4835,0
38,5374,110
39,7123,80
40,8459,131
41,11236,119
42,8789,211
43,13963,249
44,16797,246
45,18695,411
46,19979,484
47,18360,318
48,21595,661
49,24998,909
50,27103,1059
51,28819,915
52,32425,1104
53,34272,1344
54,25398,1146
55,30561,1342
56,30613,1906
57,33323,1922
58,33901,1873
59,35527,2087
60,28391,1831
61,27620,1500
62,25023,1541
63,26922,2408
64,30148,4928
65,31667,2299
66,30833,3770
67,32922,1856
68,24601,1772
69,28065,1857
70,37289,2524
71,17588,1721
72,26543,3179
73,21352,1054
74,48529,2172
75,26857,1687
76,22541,1369
77,24132,2110
78,27326,2611
79,29917,2040
80,33955,2062
